ID,Status,Filter_1,Filter_2,Filter_3,Filter_4,Filter_5,Filter_6,Filter_7,Filter_8,Filter_9,Filter_10,Filter_11,Filter_12,Filter_13,Filter_14,Filter_15,Filter_16,Filter_17,Filter_18,Filter_19,Filter_20,Failed_Filter_Count,All_Filters_Pass,Any_Filter_Fail,Status_Matches_AllFilters,Failed_Filter_Count_17,All_17_Filters_Pass,Any_17_Filter_Fail
1,Pass,True,True,True,True,False,True,False,False,True,True,True,True,False,True,False,True,True,True,True,True,5,False,True,False,5,False,True
2,Pending,False,True,True,True,True,True,False,True,True,True,True,True,False,False,True,True,False,True,True,True,5,False,True,False,5,False,True
3,Pass,False,True,True,False,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,4,False,True,False,4,False,True
4,Fail,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,4,False,True,False,3,False,True
5,Pass,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,False,False,True,False,False,6,False,True,False,4,False,True
6,Fail,True,False,True,True,True,True,True,True,False,True,True,True,False,False,True,False,False,True,True,False,7,False,True,False,6,False,True
7,Pass,True,True,True,True,False,True,False,True,True,False,True,False,True,True,True,True,True,True,False,True,5,False,True,False,4,False,True
8,Pass,False,True,True,False,True,False,False,True,True,True,True,True,False,False,True,True,True,True,False,True,7,False,True,False,6,False,True
9,Pending,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,False,True,True,True,False,5,False,True,False,4,False,True
10,Pass,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,4,False,True,False,3,False,True
11,Pass,True,True,False,False,True,True,True,False,True,True,True,False,True,False,True,True,True,True,True,False,6,False,True,False,5,False,True
12,Pending,False,True,False,True,False,True,True,True,True,False,True,True,True,False,True,True,False,False,True,True,7,False,True,False,6,False,True
13,Pending,False,True,False,True,False,False,True,True,True,False,True,True,False,False,False,True,True,True,True,True,8,False,True,False,8,False,True
14,Pass,True,False,False,False,True,False,True,True,True,True,True,True,True,False,True,False,True,True,True,False,7,False,True,False,6,False,True
15,Fail,True,False,True,False,False,True,False,False,True,True,False,True,True,True,True,False,True,True,True,True,7,False,True,False,7,False,True
16,Pass,True,False,False,False,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,False,6,False,True,False,5,False,True
17,Pass,True,True,True,False,True,False,True,True,True,False,True,True,False,False,False,True,False,True,False,False,9,False,True,False,7,False,True
18,Pass,True,True,True,True,True,True,False,False,True,False,False,True,True,True,True,True,False,True,True,True,5,False,True,False,5,False,True
19,Fail,True,True,True,True,True,False,True,True,False,False,True,True,True,False,True,True,True,False,False,False,7,False,True,False,4,False,True
20,Fail,True,True,True,True,True,True,False,False,True,False,False,True,True,False,True,True,True,True,True,False,6,False,True,False,5,False,True
